Warns,,,,,,
,,,,,,
Warns,Individual Accounts Warned,Servers Warned,Server Member Warnings,,,
Child Safety,"3,185","1,146","23,043",,,
Deceptive Practices,131,0,0,,,
Exploitative and Unsolicited Content,"7,494",203,"371,489",,,
Harassment and Bullying,"3,713",223,"16,936",,,
Hateful Conduct,"1,422",419,"63,872",,,
Identity and Authenticity,16,0,0,,,
Misinformation,5,8,"8,797",,,
Platform Manipulation,52,20,52,,,
Regulated or Illegal Activities,2,22,"771,830",,,
Self-Harm Concerns,222,0,0,,,
Violent and Graphic Content,"1,567",289,"34,945",,,
Violent Extremism,--,--,--,,,
,,,,,,
Total:,"17,809","2,330","1,290,964",,,
,,,,,,
Accounts Disabled,,,,,,
,,,,,,
Accounts Disabled Category,Accounts Disabled,,,,,
Child Safety,"37,102",,,,,
Deceptive Practices,"5,135",,,,,
Exploitative and Unsolicited Content,"15,963",,,,,
Harassment and Bullying,"8,366",,,,,
Hateful Conduct,"4,505",,,,,
Identity and Authenticity,"2,325",,,,,
Misinformation,88,,,,,
Platform Manipulation,"3,353",,,,,
Regulated or Illegal Activities,"57,739",,,,,
Self-Harm Concerns,"1,320",,,,,
Violent and Graphic Content,"10,714",,,,,
Violent Extremism,"7,223",,,,,
,,,,,,
Total:,"153,833",,,,,
,,,,,,
NCMEC,,,,,,
,,,,,,
Month,Media Reports,Grooming or Endangerment Escalations,Month Total,,,
January,"3,694",18,"3,712",,,
February,"3,638",32,"3,670",,,
March,"4,188",19,"4,207",,,
,,,,,,
Total,"11,520",69,"11,589",,,
,,,,,,
Servers Removed,,,,,,
,,,,,,
Servers Removed Category,Servers Removed Proactive,Servers Removed Reactive,Total Servers Removed,,,
Child Safety,"16,289","1,137","17,426",,,
Deceptive Practices,"1,048","1,370","2,418",,,
Exploitative and Unsolicited Content,196,841,"1,037",,,
Harassment and Bullying,71,490,561,,,
Hateful Conduct,284,336,620,,,
Identity and Authenticity,3,16,19,,,
Misinformation,43,5,48,,,
Platform Manipulation,349,479,828,,,
Regulated or Illegal Activities,"4,594","3,023","7,617",,,
Self-Harm Concerns,311,234,545,,,
Violent and Graphic Content,639,645,"1,284",,,
Violent Extremism,547,282,829,,,
,,,,,,
Total:,"24,374","8,858","33,232",,,
,,,,,,
Appeals,,,,,,
,,,,,,
Appeal Category,Accounts Disabled,Appeals,% Accounts Who Submitted an Appeal,Appeals Granted,% Account Appeals Granted,% Accounts Unbanned
Child Safety,"37,102","5,105",13.76%,34,0.67%,0.09%
Deceptive Practices,"5,135",940,18.31%,32,3.40%,0.62%
Exploitative and Unsolicited Content,"15,963","3,662",22.94%,32,0.87%,0.20%
Harassment and Bullying,"8,366","2,526",30.19%,80,3.17%,0.96%
Hateful Conduct,"4,505","1,109",24.62%,49,4.42%,1.09%
Identity and Authenticity,"2,325",29,1.25%,0,0.00%,0.00%
Misinformation,88,1,1.14%,0,0.00%,0.00%
Platform Manipulation,"3,353","2,331",69.52%,11,0.47%,0.33%
Regulated or Illegal Activities,"57,739","8,754",15.16%,164,1.87%,0.28%
Self-Harm Concerns,"1,320",278,21.06%,13,4.68%,0.98%
Violent and Graphic Content,"10,714","2,069",19.31%,20,0.97%,0.19%
Violent Extremism,"7,223","1,109",15.35%,2,0.18%,0.03%
,,,,,,
Sum:,"153,833","27,913",18.15%,437,1.57%,0.28%
,,,,,,
Reports,,,,,,
,,,,,,
Report Category,Reports Received,Reports Actioned,% of Reports Actioned,,,
Child Safety,"10,488","1,666",15.88%,,,
Deceptive Practices,"10,857","4,124",37.98%,,,
Exploitative and Unsolicited Content,"7,089",190,2.68%,,,
Harassment and Bullying,"27,122","4,241",15.64%,,,
Hateful Conduct,"16,923",961,5.68%,,,
Identity and Authenticity,"2,292","1,061",46.29%,,,
Misinformation,429,190,44.29%,,,
Platform Manipulation,"2,125",667,31.39%,,,
Regulated or Illegal Activities,"3,403","1,140",33.50%,,,
Self-Harm Concerns,"2,121",53,2.50%,,,
Violent and Graphic Content,"2,477","1,364",55.07%,,,
Violent Extremism,"1,539",919,59.71%,,,
,,,,,,
Total:,"86,865","16,576",19.08%,,,
,,,,,,
Legal,,,,,,
,,,,,,
Request Type,Requests,Information Produced,,,,
Court Orders,21,16,,,,
Pen Register / Trap and Trace,0,0,,,,
Search Warrants,486,457,,,,
Subpoenas,566,471,,,,
,,,,,,
Total,"1,073",944,,,,
,,,,,,
Request Type,Requests,Complied,,,,
Preservation Requests,682,580,,,,